work_order,site_name,site_address,site_city,site_state,latitude,longitude,jp_status,jp_priority,due_date,sow_1,flag_missing_due_date,flag_past_due,flag_estimated_time,tank_test_only,is_recurring_site,night_test,days_til_due,tech_count,zone_3,region,duration,cluster_id,created_at,updated_at
67773,King Soopers 124,4630 South Leetsdale Drive,Glendale,CO,39.709402,-104.932803,unscheduled,Annual,2025-09-25,"ACI, ATG, LDT",False,False,False,False,False,False,66.0,10.0,"40.0,-105.0",CO - Denver Metro,3.5,,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67895,Spalding Rehabilitation Hospital,900 Potomac St,Aurora,CO,39.731086,-104.827402,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - Denver Metro,0.5,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67856,RLF I-C SPE LLC,9775 E. 97th Pl,Henderson,CO,39.874268,-104.873784,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - Denver Metro,0.5,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67243,Perry Stokes Las Animas County Airport,44814 County Rd 38,Trinidad,CO,37.263142,-104.341428,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"37.0,-104.0",CO - Southeast,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67217,Parkview Medical Center -Pueblo West ED,899 E Industrial Blvd,Pueblo,CO,38.328581,-104.701694,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"38.0,-105.0",CO - Southeast,1.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67091,Maverik 734,1001 W Pueblo Blvd,Pueblo,CO,38.218706,-104.625585,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"38.0,-105.0",CO - Southeast,2.25,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
66895,Gasamat #180,1525 Greenwood Ave,Canon City,CO,38.447938,-105.227011,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"38.0,-105.0",CO - Southeast,1.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67225,Parkview Medical Center - Emergency Room,400 West 16th Street,Pueblo,CO,38.281629,-104.611834,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"38.0,-105.0",CO - Southeast,1.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
74238,Maverik 5431,105 Latigo Lane,Canon City,CO,38.447142,-105.183235,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"38.0,-105.0",CO - Southeast,1.5,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67515,Maverik 673,6955 Campus Dr,Colorado Springs,CO,38.932402,-104.807897,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"39.0,-105.0",CO - Southeast,1.25,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67020,Maverik 5236,17970 Knollwood Dr,Monument,CO,39.092302,-104.852165,unscheduled,Monthly O&M,2025-09-25,"MOI, SBT",False,False,False,False,False,False,66.0,11.0,"39.0,-105.0",CO - Southeast,2.0,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67103,Maverik 636,135 E Motor Way,Colorado Springs,CO,38.813335,-104.830018,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"39.0,-105.0",CO - Southeast,1.5,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67112,Maverik 5259,1021 S Nevada Ave,Colorado Springs,CO,38.818748,-104.822091,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"39.0,-105.0",CO - Southeast,1.25,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67113,Maverik 5400,1511 S 8th St,Colorado Springs,CO,38.812576,-104.840467,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"39.0,-105.0",CO - Southeast,1.0,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67226,Maverik 5242,8050 Fountain Mesa Rd,Fountain,CO,38.715184,-104.702401,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"39.0,-105.0",CO - Southeast,1.5,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
